celebrity_name,season,week,judge_score,placement,weeks_participated,method1_combined_rank,method2_combined_pct,method1_pos,method2_pos,is_eliminated
Jerry Rice,2,1,21.0,2,8,8.0,0.2515603839518771,1.0,1.0,0
Jerry Rice,2,2,23.0,2,8,7.0,0.2710234102432273,1.0,1.0,0
Jerry Rice,2,3,19.0,2,8,10.0,0.2374941930247014,1.0,1.0,0
Jerry Rice,2,4,24.0,2,8,8.0,0.3160901291681048,1.0,1.0,0
Jerry Rice,2,5,23.0,2,8,8.0,0.3415930094749244,1.0,1.0,0
Jerry Rice,2,6,23.0,2,8,7.5,0.3930581870843853,1.0,1.0,0
Jerry Rice,2,7,20.5,2,8,7.0,0.4671179169700911,1.0,1.0,0
Jerry Rice,2,8,26.666600000000003,2,8,6.0,0.6113725464459111,1.0,1.0,1
Billy Ray Cyrus,4,1,13.0,5,8,15.0,0.1551169174330659,1.0,1.0,0
Billy Ray Cyrus,4,2,21.0,5,8,10.5,0.1883682326371629,1.0,1.0,0
Billy Ray Cyrus,4,3,21.0,5,8,11.0,0.2100298115513756,1.0,1.0,0
Billy Ray Cyrus,4,4,21.0,5,8,9.5,0.2347102386771506,1.0,1.0,0
Billy Ray Cyrus,4,5,17.0,5,8,8.0,0.2440277680893678,1.0,1.0,0
Billy Ray Cyrus,4,6,21.0,5,8,8.0,0.2939609148950663,1.0,1.0,0
Billy Ray Cyrus,4,7,19.0,5,8,7.0,0.3396047893273376,1.0,1.0,0
Billy Ray Cyrus,4,8,19.0,5,8,10.0,0.1911863756894507,1.0,1.0,1
Bristol Palin,11,1,18.0,3,10,8.5,0.1792456937102577,1.0,1.0,0
Bristol Palin,11,2,22.0,3,10,4.5,0.2102513871160193,1.0,1.0,0
Bristol Palin,11,3,19.0,3,10,10.0,0.2150796094709159,1.0,1.0,0
Bristol Palin,11,4,16.0,3,10,9.0,0.2293845992531342,1.0,1.0,0
Bristol Palin,11,5,18.0,3,10,9.0,0.2641631829568251,1.0,1.0,0
Bristol Palin,11,6,27.9998,3,10,7.0,0.3176707387773633,1.0,1.0,0
Bristol Palin,11,7,32.5,3,10,7.0,0.3835744888922114,1.0,1.0,0
Bristol Palin,11,8,23.5,3,10,6.0,0.5060044860922155,1.0,1.0,0
Bristol Palin,11,9,26.5,3,10,5.0,0.57563142584965,1.0,1.0,0
Bristol Palin,11,10,25.666600000000003,3,10,4.0,0.6448931740752923,1.0,1.0,1
Bobby Bones,27,1,20.0,1,9,9.0,0.1678120641210757,1.0,1.0,0
Bobby Bones,27,2,19.5,1,9,11.0,0.1760882942140796,1.0,1.0,0
Bobby Bones,27,3,23.0,1,9,9.0,0.1932863086336253,1.0,1.0,0
Bobby Bones,27,4,20.0,1,9,11.0,0.2051469518269212,1.0,1.0,0
Bobby Bones,27,5,21.0,1,9,11.0,0.2095659294265125,1.0,1.0,0
Bobby Bones,27,6,22.0,1,9,8.5,0.2325072999125636,1.0,1.0,0
Bobby Bones,27,7,26.5,1,9,8.5,0.2910464701452193,1.0,1.0,0
Bobby Bones,27,8,22.5,1,9,7.0,0.3930169826754959,1.0,1.0,0
Bobby Bones,27,9,27.0,1,9,5.0,0.4876255599569818,1.0,1.0,1
